FID,OBJECTID,SHAPE,BASIS_TYP_TXT,BASIS_TYP,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-657,3169101,POINT (16.41760342731479 48.18319270199555),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-656,3169102,POINT (16.418074422670085 48.182391437337124),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-655,3169103,POINT (16.38117030933514 48.178357953490575),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-654,3169104,POINT (16.383110998970217 48.1791307478798),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-653,3169105,POINT (16.386432007836326 48.29153430036015),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-652,3169106,POINT (16.350644755389325 48.18612540448205),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-651,3169107,POINT (16.33271745501257 48.18927070103015),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-650,3169108,POINT (16.294903427926265 48.230586832351655),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-64f,3169109,POINT (16.40311964334746 48.188006202138915),Grundwasserbrunnen,1,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-64e,3169110,POINT (16.333128518768728 48.18942170377122),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-64d,3169111,POINT (16.312912469484917 48.24999306565297),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-64c,3169112,POINT (16.328973384512338 48.18988165700128),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-64b,3169113,POINT (16.32862583541908 48.189962157683944),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-64a,3169114,POINT (16.422328013375836 48.276035633212196),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-649,3169115,POINT (16.423744304776008 48.277636444075554),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-648,3169116,POINT (16.39082799194716 48.22254087032561),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-647,3169117,POINT (16.390700410765582 48.22355235263908),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-646,3169118,POINT (16.390742766376125 48.22351106814732),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-645,3169119,POINT (16.38915817423282 48.29537876395968),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-644,3169120,POINT (16.371263796104987 48.18692081426466),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-643,3169121,POINT (16.402397572312612 48.225689312111),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-642,3169122,POINT (16.3920638923002 48.19179043114411),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-641,3169123,POINT (16.393634919216115 48.19007929419479),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-640,3169124,POINT (16.326924144869714 48.18975476387031),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-63f,3169125,POINT (16.40332640995109 48.187724852575656),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-63e,3169126,POINT (16.50249080451681 48.227719775097576),Bodenfontäne,12,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-63d,3169127,POINT (16.314689729626178 48.20670708927633),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-63c,3169128,POINT (16.314313571835353 48.20642564574914),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-63b,3169129,POINT (16.315168224538603 48.206382817158435),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-63a,3169130,POINT (16.40269230024394 48.22625994069434),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-639,3169131,POINT (16.403165053521416 48.22643411327917),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-638,3169132,POINT (16.35584189943369 48.21066914066903),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-637,3169133,POINT (16.348227781508804 48.1951721546592),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-636,3169134,POINT (16.34878421603229 48.19466664135888),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-635,3169135,POINT (16.376441544292845 48.19857179966282),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-634,3169136,POINT (16.37611001848546 48.19837725684725),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-633,3169137,POINT (16.418368702280425 48.16663818825516),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-632,3169138,POINT (16.3424925139561 48.21223307967093),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-631,3169139,POINT (16.402833628372658 48.251110042270554),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-630,3169140,POINT (16.383880276720582 48.26988963514334),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-62f,3169141,POINT (16.286706402219547 48.152138458264865),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-62e,3169142,POINT (16.309327459542782 48.24122493827155),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-62d,3169143,POINT (16.31542619209762 48.20414973468967),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-62c,3169144,POINT (16.315450133122713 48.204134516164466),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-62b,3169145,POINT (16.30478342785738 48.242601090156406),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-62a,3169146,POINT (16.328355281970197 48.18057549075779),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-629,3169147,POINT (16.47906630232098 48.24620755331921),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-628,3169148,POINT (16.48884522797454 48.21273540695249),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-627,3169149,POINT (16.35224410761133 48.15341038773803),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-626,3169150,POINT (16.36770212849292 48.18698749917928),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-625,3169151,POINT (16.384301613495197 48.17950413667736),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-624,3169152,POINT (16.30179541950816 48.24302442551112),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-623,3169153,POINT (16.35643254464113 48.153284807370596),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-622,3169154,POINT (16.448311152327314 48.24865125440453),Trinkbrunnen,4,
