cidade;ano;pib;mat1517;veiculos;motos;populacao;pop1519;pop2024;pop2529;pop60p;ibge;jovem;pjovem;pmotos;pmat;rodovia
Adamantina;2010;639090,51;94,96;19331;4556;33794;2673;2760;2492;17,56;3500105;7925;23,45090845;23,5683617;0,280996627;23
Adamantina;2011;683689,22;91,96;20613;4987;33811;2573;2734;2538;17,93;3500105;7845;23,20250806;24,19347014;0,271982491;23
Adamantina;2012;743683,94;89,34;21879;5389;33828;2477;2711;2583;18,29;3500105;7771;22,97209412;24,63092463;0,264100745;23
Adamantina;2013;815579,34;93,64;22969;5608;33845;2382;2687;2628;18,67;3500105;7697;22,74191166;24,41551657;0,276673068;23
Adamantina;2014;883055,34;96,98;23966;5845;33862;2289;2662;2670;19,04;3500105;7621;22,50605398;24,38871735;0,286397732;23
Adamantina;2015;;100,79;24839;6104;33879;2200;2636;2716;19,41;3500105;7552;22,29109478;24,57425822;0,297499926;23
Adamantina;2016;;;;;33882;2134;2539;2695;19,89;3500105;7368;21,74605985;;;23
Adolfo;2010;61059,15;73,42;1390;273;3558;268;288;260;15,88;3500204;816;22,93423272;19,64028777;2,063518831;4
Adolfo;2011;68413,95;78,06;1498;285;3547;263;289;263;16,32;3500204;815;22,9771638;19,02536716;2,200733014;4
Adolfo;2012;53200,27;76,47;1672;314;3535;259;283;266;16,8;3500204;808;22,85714286;18,77990431;2,163224894;4
Adolfo;2013;73529,29;79,47;1826;331;3523;256;274;269;17,29;3500204;799;22,67953449;18,12705367;2,255747942;4
Adolfo;2014;79414,14;90;1961;336;3512;251;262;279;17,85;3500204;792;22,55125285;17,13411525;2,562642369;4
Adolfo;2015;;86,39;2074;351;3501;247;256;274;18,45;3500204;777;22,19365895;16,92381871;2,467580691;4
Adolfo;2016;;;;;3490;241;252;272;19,08;3500204;765;21,91977077;;;4
Aguaí;2010;549174,96;56,71;13527;3782;32113;2837;2900;2978;11,76;3500303;8715;27,13854202;27,95889702;0,176595148;63
Aguaí;2011;573701,85;55,89;14581;4174;32464;2817;2916;2996;11,97;3500303;8729;26,88824544;28,62629449;0,172159931;63
Aguaí;2012;568189,97;56,29;15706;4463;32820;2796;2931;3006;12,22;3500303;8733;26,60877514;28,41589202;0,171511274;63
Aguaí;2013;660869,78;56,68;16944;4735;33179;2772;2945;3024;12,45;3500303;8741;26,34497724;27,94499528;0,170830947;63
Aguaí;2014;747278,2;58,03;17911;4990;33542;2749;2957;3037;12,69;3500303;8743;26,06582792;27,85997432;0,173006976;63
Aguaí;2015;;56,52;18703;5205;33909;2725;2969;3047;12,96;3500303;8741;25,7778171;27,82975993;0,166681412;63
Aguaí;2016;;;;;34242;2653;2944;3059;13,29;3500303;8656;25,27889726;;;63
Águas da Prata;2010;96964,45;55,07;3148;609;7580;582;592;547;18,52;3500402;1721;22,70448549;19,34561626;0,72651715;27
Águas da Prata;2011;89260,07;47,01;3406;700;7604;570;599;559;18,79;3500402;1728;22,72488164;20,55196712;0,618227249;27
Águas da Prata;2012;101169,93;46,46;3661;764;7628;556;608;573;19,07;3500402;1737;22,77136864;20,86861513;0,609071841;27
Águas da Prata;2013;111412,62;40,06;3863;808;7652;544;609;587;19,37;3500402;1740;22,73915316;20,91638623;0,523523262;27
Águas da Prata;2014;121399,24;40,45;4053;839;7676;532;608;600;19,66;3500402;1740;22,66805628;20,70071552;0,52696717;27
Águas da Prata;2015;;38,21;4212;870;7700;520;603;615;19,95;3500402;1738;22,57142857;20,65527066;0,496233766;27
